SampleID	MJ006-1-barcode40-umi107332bins-ubs-4	MJ006-2-barcode50-umi50296bins-ubs-7	MJ006-1-barcode46-umi100611bins-ubs-4	MJ005-barcode65-umi8101bins-ubs-23	MJ006-1-barcode33-umi150609bins-ubs-3	MJ006-1-barcode45-umi127614bins-ubs-3	MJ006-2-barcode69-umi110711bins-ubs-4	MJ006-1-barcode31-umi239522bins-ubs-3	MJ006-2-barcode58-umi276347bins-ubs-3	MJ006-1-barcode38-umi103067bins-ubs-4	MJ006-1-barcode38-umi138790bins-ubs-3	MJ005-barcode33-umi46532bins-ubs-7	MJ006-2-barcode69-umi128054bins-ubs-4	MJ006-1-barcode40-umi115234bins-ubs-4	MJ006-2-barcode69-umi62539bins-ubs-7	MJ006-2-barcode67-umi38620bins-ubs-11	MJ006-2-barcode65-umi143013bins-ubs-3	MJ006-1-barcode29-umi118459bins-ubs-5	MJ006-2-barcode63-umi107469bins-ubs-4	MJ006-2-barcode65-umi48515bins-ubs-8	S-GCF-003481765.1-NZ-QULR01000098.1	MJ006-1-barcode39-umi131137bins-ubs-4	RS-GCF-003481015.1-NZ-QUKE01000021.1	MJ006-1-barcode48-umi160979bins-ubs-4	MJ006-2-barcode73-umi176140bins-ubs-3	MJ006-1-barcode25-umi48251bins-ubs-7	MJ006-2-barcode62-umi183899bins-ubs-3	MJ006-2-barcode62-umi107096bins-ubs-4	MJ006-2-barcode50-umi133669bins-ubs-5	MJ005-barcode57-umi51662bins-ubs-5	MJ005-barcode26-umi86829bins-ubs-4	MJ006-2-barcode50-umi146289bins-ubs-3	MJ006-1-barcode39-umi147435bins-ubs-4	MJ005-barcode81-umi85457bins-ubs-4	MJ006-2-barcode68-umi139471bins-ubs-3	MJ005-barcode26-umi62651bins-ubs-4	MJ005-barcode81-umi51374bins-ubs-6	MJ006-1-barcode25-umi113087bins-ubs-4	MJ005-barcode26-umi77756bins-ubs-3	MJ006-1-barcode26-umi116737bins-ubs-5	MJ006-2-barcode63-umi127743bins-ubs-5	MJ006-1-barcode29-umi101767bins-ubs-4	MJ006-2-barcode65-umi159981bins-ubs-3	MJ006-2-barcode65-umi157220bins-ubs-3	MJ006-2-barcode65-umi45055bins-ubs-8	MJ006-2-barcode60-umi100713bins-ubs-5	G000212375	CP002689	MJ006-2-barcode70-umi126108bins-ubs-4	RS-GCF-000174775.1-NZ-ACLR01000152.1	RS-GCF-902385375.1-NZ-CABMEW010000017.1	G000154525	MJ006-2-barcode71-umi65994bins-ubs-6	MJ006-1-barcode26-umi106267bins-ubs-4	MJ006-1-barcode34-umi121834bins-ubs-4	MJ010-1-barcode30-umi105810bins-ubs-5	GB-GCA-905197405.1-CAJJYN010000035.1	MJ005-barcode27-umi65786bins-ubs-4	MJ006-1-barcode34-umi45460bins-ubs-8	MJ010-1-barcode30-umi166121bins-ubs-3	MJ006-2-barcode52-umi105573bins-ubs-5	MJ005-barcode81-umi11184bins-ubs-16	RS-GCF-015286725.1-NZ-CP063911.1--3	MJ006-2-barcode69-umi105244bins-ubs-4	MJ010-2-barcode55-umi157615bins-ubs-3	RS-GCF-902399785.1-NZ-CABOGP010000217.1	GB-GCA-003477505.1-QUDN01000082.1	MJ006-1-barcode38-umi121690bins-ubs-4	GB-GCA-000509105.1-BAIF02000133.1	MJ006-1-barcode39-umi153479bins-ubs-3	MJ006-1-barcode38-umi118631bins-ubs-4	G003481355	G000177335	MJ006-1-barcode49-umi89662bins-ubs-7	RS-GCF-003473495.1-NZ-QUCI01000034.1	GB-GCA-014864425.1-WHBB01000019.1	MJ006-2-barcode68-umi182002bins-ubs-3	MJ007-1-barcode38-umi26862bins-ubs-6	MJ006-2-barcode53-umi133722bins-ubs-4	MJ006-2-barcode50-umi159672bins-ubs-3	MJ006-1-barcode29-umi136949bins-ubs-3	MJ006-1-barcode39-umi140274bins-ubs-3	MJ005-barcode33-umi69682bins-ubs-3	RS-GCF-009760995.1-NZ-WIOW01000080.1	GB-GCA-003434745.1-QVIB01000074.1	RS-GCF-002966755.1-NZ-CP020025.1--7	MJ005-barcode57-umi33464bins-ubs-8	FP929032	MJ006-1-barcode37-umi100863bins-ubs-4	MJ006-2-barcode70-umi178533bins-ubs-3	MJ006-1-barcode27-umi148860bins-ubs-3	MJ006-1-barcode33-umi104545bins-ubs-4	MJ006-1-barcode38-umi143167bins-ubs-3	GB-GCA-905212165.1-CAJMDO010000177.1	GB-GCA-016586755.1-BNFN01000001.1--7	MJ006-2-barcode52-umi114699bins-ubs-4	GB-GCA-008679315.1-NANK01000003.1	RS-GCF-000183445.1-NZ-AENT01000008.1	MJ006-1-barcode39-umi161269bins-ubs-3	RS-GCF-009495095.1-NZ-VZAR01000095.1	MJ006-2-barcode53-umi134820bins-ubs-4	MJ006-2-barcode50-umi102641bins-ubs-6	MJ006-2-barcode60-umi196268bins-ubs-3	MJ006-1-barcode43-umi42311bins-ubs-8	MJ006-2-barcode66-umi31583bins-ubs-10	MJ009-1-barcode40-umi104913bins-ubs-3	MJ030-1-barcode27-umi116353bins-ubs-3	RS-GCF-902497355.1-NZ-LR700178.1	MJ006-2-barcode73-umi105490bins-ubs-4	RS-GCF-000273215.1-NZ-JH724241.1	RS-GCF-016888565.1-NZ-JAFEKK010000002.1	GU938836	MJ006-1-barcode39-umi123867bins-ubs-4	MJ006-2-barcode52-umi145578bins-ubs-5	MJ005-barcode51-umi84725bins-ubs-3	MJ005-barcode41-umi85944bins-ubs-3	MJ006-1-barcode41-umi112991bins-ubs-4	MJ006-2-barcode58-umi100403bins-ubs-5	RS-GCF-003473415.1-NZ-QRNO01000114.1	GB-GCA-017851145.1-JAFIKU010000077.1	MJ006-1-barcode45-umi136843bins-ubs-3	MJ006-2-barcode62-umi121076bins-ubs-4	MJ006-2-barcode60-umi152122bins-ubs-3	MJ006-1-barcode37-umi103119bins-ubs-5	RS-GCF-900258545.1-NZ-LT984899.1--2	G900539925	AF542230	MJ006-1-barcode49-umi129075bins-ubs-3	MJ006-2-barcode67-umi55629bins-ubs-7	MJ006-1-barcode38-umi82781bins-ubs-5	RS-GCF-013293605.1-NZ-JAAKAK010000037.1	MJ006-1-barcode30-umi107525bins-ubs-5	MJ006-1-barcode38-umi137655bins-ubs-3	MJ006-1-barcode38-umi121737bins-ubs-4	MJ006-2-barcode59-umi114073bins-ubs-4	MJ006-1-barcode28-umi143227bins-ubs-3	MJ006-1-barcode26-umi108328bins-ubs-4	GU562446	G902387315	MJ006-2-barcode53-umi77499bins-ubs-7	GB-GCA-000268125.1-AKNH01000067.1	MJ006-2-barcode59-umi171842bins-ubs-3	MJ006-1-barcode48-umi169942bins-ubs-3	MJ006-1-barcode45-umi38159bins-ubs-10	AAVP02000040	MJ005-barcode33-umi81819bins-ubs-3	AY574991	G000153925	GB-GCA-000185545.1-GL622464.1	MJ009-1-barcode40-umi95011bins-ubs-3	MJ005-barcode34-umi178bins-ubs-210
Sample1	0.006175557	0.015675733	0.01206939	0.009870905	0.002572494	0.002572096	0.000957704	0.014281836	0.009911409	0.011674965	0.000339405	0.015992236	0.013725625	0.003501127	0.002997998	0.003024042	0.00501646	0.007210317	0.005935059	0.004001579	0.008407049	0.001916689	0.004014158	0.005033926	0.006266544	0.010788562	0.00274358	0.007065741	0.008139961	0.000638243	0.008347855	0.002343055	0.000893829	0.013037983	0.013268085	0.011107631	0.004185488	0.001342045	0.009401575	0.006047832	0.001676843	0.006803885	0.000472509	0.012494345	0.003555718	0.009103262	0.004283007	0.007145897	0.007511969	0.002539958	0.013322395	0.010650566	0.012909008	0.012295206	0.008215332	0.012666839	0.001215915	0.002692866	0.000621437	0.00447014	0.005340547	0.00372842	0.011387111	0.005882282	0.004632153	0.008948176	0.002323611	0.011022436	0.001024349	0.013560134	0.010610884	0.002730415	7.59E-05	0.011204694	0.00971244	0.010016785	0.010597495	0.001017397	0.004925431	0.001592077	0.01185931	0.00856431	0.004546642	0.000873312	0.004272994	0.00446812	0.010025016	0.008760238	0.012190579	0.00648838	0.001643262	0.009800205	0.010453423	0.007712123	0.010593329	0.006784905	0.007182512	0.005874547	0.000349267	0.001482462	0.000431847	0.008744477	0.004319349	0.00698792	0.012470246	0.003425353	0.005638789	0.010381508	0.003143758	0.001057728	0.003981275	0.002215231	0.012774335	0.011103826	0.008703165	0.01197414	0.011042705	0.002563531	0.012264038	0.00741073	0.011094479	0.012312573	0.004369467	0.001512148	0.0031319	0.005868594	0.011239778	0.011826706	9.55E-05	0.007017827	0.005735357	0.00305183	0.001646987	0.004638938	0.012955873	0.004440909	0.007128345	0.009659699	0.004996384	0.013352588	0.013224325	0.003459567	0	0.004134162	0.003913797	0.000506838	0.008375604	0.006906966	0.000707334	0.003828689	0.000707334
Sample2	0.013676441	0.003607263	0.002181791	0.007370057	0.014841678	0.003644808	0.010120849	0.011468278	0.003578287	0.0109653	0.005537987	0.009521103	0.009539532	0.008067561	0.001359561	0.012577776	0.004830226	0.002340458	0.000511652	0.007414599	0.008502162	0.000208146	0.006425808	0.002842097	0.008095709	0.002187972	0.008669973	0.004852804	0.011754205	0.00172563	0.004279743	0.00142388	0.011603171	0.011008964	0.003236684	0.008281562	0.010254606	0.006966729	0.006646122	0.003034793	0.001168265	0.011258376	0.011298558	0.007944236	0.004254188	0.004381925	0.009109383	0.011257052	0.011131271	0.009785976	0.008056293	0.001055799	0.002028137	0.01127517	0.007609548	0.000115406	0.001273278	0.008325703	6.35E-05	0.00201784	0.00688558	0.008681988	0.008180891	0.003376991	0.010723817	0.003572437	0.004899787	0.009367068	0.008151675	0.010656162	0.008251809	0.007131207	0.001175443	0.004614144	0.003327793	0.003061613	0.012209458	0.004932639	0.011193512	0.007919606	0.009973392	0.006307153	0.007239062	0.006180174	0.002449933	0.00906542	0.003523167	0.00030512	0.008099467	0.002222407	0.011800992	0.011970015	0.011479833	0.004644798	0.000193952	0.011648658	0.005372908	0.012129706	0.012091624	0.010703669	0.003694782	0.004832255	0.010680169	0.003976777	0.002126816	0.006986812	0.011746987	0.008733869	0.007153199	0.001219383	0.007717188	0.01242332	0.001757792	0.006504065	0.011009387	0.009295257	0.008746241	0.008814858	0.00451094	0.003684027	0.010155965	0.010165404	0.010880132	0.011459457	0.006416388	0.006293089	0.010017108	0.008155829	0.008808368	0.009985706	0.011167898	0.004241206	0.004712862	0.001179297	0.007256332	0.000451008	0.005842382	0.006809173	0.003595555	0.00741385	0.000382721	0.00046865	0	0.004519717	0.001594371	0.006553174	0.009661975	0.002708149	0.007816108	0.001070951	0.007816108
Sample3	0.000808025	0.008307535	0.008452632	0.009965983	0.011352172	0.01525709	0.008072167	0.005049306	0.012432445	0.004234363	0.006863157	0.001226637	0.00039635	0.015050655	0.013070243	0.010881302	0.006393829	0.002257828	0.002038197	0.00326038	0.007155798	0.009310371	0.00860162	0.00364722	0.012440807	0.009613957	0.007222602	0.007970025	0.005466911	0.003227653	0.004637919	0.009873872	0.000187531	0.001512294	0.000599362	0.00053065	0.011145677	0.009167861	0.006177945	0.001274668	0.006405195	0.006168798	0.002256623	0.005652593	0.005192063	0.008023826	0.008274547	0.00059026	0.004880776	0.008154242	0.006555293	0.011159087	0.008582028	0.00212285	0.00091943	0.008369992	0.000345412	0.007631989	0.012250129	0.007497773	0.005057412	0.008381313	0.005970513	0.008530519	0.014719457	0.006036573	0.015027862	0.011795688	0.002550936	0.000903699	0.001313023	0.00023741	0.001230484	0.008898801	0.000927507	0.004155889	0.011007763	0.000303207	0.010611597	0.003672247	0.001539553	0.009077692	0.008194409	0.011432461	0.009577139	0.010468442	0.003674589	0.002311835	0.009779656	0.010512138	0.012905154	0.005375939	0.004846972	0.010115777	0.004440282	0.012126708	0.011184141	0.005589304	0.009782995	0.009830834	0.001343587	0.011759237	0.006582863	0.0107678	0.004169882	0.011667648	0.005070855	0.000141202	0.011796096	0.001189361	0.004160293	0.012378226	0.012385329	0.007471243	0.008232119	0.005842735	0.003820202	0.004282125	0.00876215	0.009802583	0.010313374	0.010287825	0.001188312	0.006441734	0.000749925	0.007159736	0.00575264	0.011565775	0.004572023	0.00152525	0.001863019	0.009921616	0.008054677	0.001317513	0.001095816	0.00913283	0.000948019	0.010707901	0.009201532	0.001059882	0.001105339	0.01285479	0	0.004829045	0.010589853	0.01234157	0.012846471	0.00981566	0.004902234	0.001087919	0.004902234
Sample4	0.011567814	0.008311834	0.006314535	0.013491064	0.001655172	0.007332713	0.000168999	0.006976003	0.000838073	0.001768602	0.001749375	0.00966348	0.01110486	0.00868343	0.014321916	0.00557994	0.004252818	0.010774231	0.002773516	0.011947954	0.000150766	0.01203052	0.000535362	0.01105387	0.006545682	0.012316881	0.000915383	0.00687009	0.012023371	0.006488583	0.007807153	0.008630169	0.005638194	0.007784323	0.007247921	0.011178096	0.000563724	0.003485109	0.011789044	0.011042963	0.005652033	0.007692216	0.003440677	0.002333483	0.005751783	0.004383033	0.007239756	0.000964232	0.012086536	0.012233103	0.008660101	0.006649818	0.003839426	0.010094433	0.008493506	0.002017124	0.011299275	0.010202873	0.011781458	0.009001931	0.007608892	0.005187948	0.011569701	0.012891341	0.000673079	0.000392472	0.005603648	0.010054223	0.012246318	0.001865793	0.007369685	0.004724626	0.012030961	0.010445767	0.010398753	0.005813739	0.005145482	0.003391382	0.00069929	0.010726143	0.010083344	0.012400645	0.01236243	0.006889657	0.009538633	0.011719013	0.010539151	0.003068142	0.005588616	0.001602112	0.011834189	0.007519079	0.002836119	0.008331874	0.007667354	0.004442703	0.001408585	0.008330293	0.006453973	0.009579951	0.006452185	0.010570585	0.006845934	0.006957957	0.01087414	0.005004861	0.001662345	0.000357025	0.009366834	0.007694411	0.008733509	0.002641639	0.001691572	0.000180414	0.00434874	0.007317426	0.004865453	0.005426503	0.011215317	0.004319812	0.006375601	0.009720547	0.004918775	0.007716455	0.010696886	0.011777993	0.001824321	0.011493529	0.006104283	0.003203301	0.005695187	0.012156468	0.006110507	0.004077883	0.007856797	0.002978802	0.00094102	0.001598643	0.001588299	0.001884223	0.001722033	0.007949505	0	0.004287708	0.011123895	0.00587909	0.008280484	0.002137481	0.002385181	0.00050694	0.002385181
Sample5	0.00287057	0.004733849	0.003007789	0.001507247	0.002049863	0.007829623	0.003506054	0.006189729	0.008554143	0.011731294	0.000667998	0.013583703	0.010669379	0.001389262	0.01484398	0.015647603	0.001037846	0.003920622	0.011415912	0.010595452	0.002612841	0.002964413	0.005245932	0.006860907	0.008754566	0.005223864	0.00654955	0.010584283	0.000519439	0.003574539	0.01010112	0.012676242	0.007245417	0.007534794	0.001517569	0.006335416	0.007541928	0.003433413	0.003812518	0.005342391	0.000284211	0.004560682	0.00299413	0.004637404	0.001695847	0.012609979	0.008405344	0.009616175	0.011174764	0.007058004	0.001230802	0.007605496	0.008309744	0.010555517	0.006112354	0.001806553	0.004018303	0.005141291	0.00914627	0.008082293	0.005042375	0.013969181	0.008577848	0.004030994	0.001729503	0.002597406	0.004179351	0.002275269	0.002641813	0.004036984	0.002454992	0.012698312	0.00113612	0.007427148	0.005811271	0.013910605	0.001586485	0.005633686	0.013727824	0.01225569	0.011569844	0.003651937	0.00241979	0.009468072	0.013160081	0.007883833	0.008094108	0.003964539	0.010896117	0.002648563	0.004583339	0.006024234	0.007187827	0.003432552	0.001626104	0.008646457	0.004087045	0.008230407	0.002185796	0.006813005	0.007541534	0.000733828	0.004766359	0.001903329	0.000897398	0.014017962	0.004564571	0.011467924	0.003605744	0.009650165	0.010764923	0.00843432	0.006677578	0.005831719	0.004940019	0.01316225	0.011761676	0.013664903	0.001760064	0.010349176	0.013287019	0.002566283	0.000941596	0.010494362	0.008134612	0.011920402	0.001979195	0.011261086	0.002855068	0.002317389	0.002326024	0.011534481	0.009419277	0.007406672	0.005081085	0.01242127	0.005557072	0.011563151	0.006218206	0.005337581	0.006551604	0.004267549	0	0.007118584	0.003288161	0.01273809	0.005435948	0.007696777	0.01283576	0.008839289	0.01283576
Sample6	0.00188423	0.015148758	0.010117762	0.005398202	0.002244868	0.012798557	0.009994691	0.008598635	0.014408278	0.012711066	0.002444783	0.005024517	0.004005292	0.011991357	0.000540495	0.009185812	0.01228975	0.011776847	0.004594893	0.01103125	0.001486022	0.011369673	0.001712447	0.005336422	0.01070939	0.002013713	0.003079339	0.009701404	0.009671638	0.00861199	0.009321219	0.007289955	0.003382202	0.00464344	0.002439248	0.012202443	0.007836205	0.005384296	0.006205731	0.012724051	0.002059839	0.007874326	0.006795172	0.008213144	0.000243259	0.011714498	0.012520351	0.007590953	0.009357518	0.012391149	0.009499735	0.002048927	0.007740791	0.008149487	0.005696986	0.009892029	0.012550557	0.012432374	0.006055742	0.00152103	0.013228534	0.011268204	0.001674488	0.014842662	0.014021493	0.008362932	0.00953052	0.005359464	0.000735566	0.004502419	0.010784047	6.22E-05	0.004479611	0.005348261	0.007218378	0.012355638	0.004652171	0.004660327	0.009906227	0.006074259	0.003016925	0.006077235	0.001892012	0.002369256	0.00669415	0.005627069	0.012288346	0.004867729	0.007798549	0.008492668	0.000175887	0.008912733	0.002391406	0.01290924	0.00199686	0.005569293	0.001146429	0.013390163	0.006745558	0.0079973	0.000900981	0.010073581	0.002819483	0.012062799	0.002755466	0.002561346	0.000490941	0.006340873	0.00758703	0.000882608	0.010417002	0.006088643	0.007043688	0.005920391	0.005383109	0.007517172	0.00208521	0.002443686	0.011575633	0.012708364	0.005014346	0.003636683	0.008650298	0.005490178	0.000340993	0.002097465	0.009617046	0.008850764	0.000363957	0.002981563	0.003103831	0.009024963	0.000264755	0.001398402	0.010744592	0.002398238	0.008767783	0.003199307	0.001335712	0.003266325	0.009701597	0.011493842	0	0.005335028	0.008973819	0.00275338	0.003937604	0.012039716	0.000174644	0.001148563	0.000174644
Sample7	0.003290331	0.00041994	0.002871679	0.009228122	0.00667012	0.01412881	0.012938132	0.005410133	0.004106038	0.006009602	0.009342925	0.004242792	0.009878751	0.006479985	0.008737557	0.006902816	0.004660673	0.012509747	0.010071677	0.001848041	0.01145477	0.006429036	0.011798812	0.010549794	0.005608408	0.000296362	0.003543755	0.007143954	0.008355342	0.003401443	0.001838055	0.01101242	0.012983899	0.006933658	0.002264386	0.003591633	0.000242566	0.012059262	0.001553093	0.007604038	0.003614687	0.007309402	0.008591993	0.010943986	0.00272262	0.000145031	0.001805471	0.011870912	0.011526286	0.007879657	0.007920594	0.008771587	0.002313082	0.012060754	0.005523428	0.005053455	0.006844332	0.000619464	0.002193216	0.009734389	0.001092084	0.007955352	0.003236064	0.006161597	0.004569316	0.005629429	0.011380738	0.003918925	0.007470667	0.006278928	0.008753576	0.012356436	0.009662354	0.002834984	0.000411294	0.003459165	0.007848857	0.000678287	0.006546886	0.007872136	0.004408553	0.010168046	0.001405991	0.000991039	0.009604539	0.006535346	0.009079772	0.005735211	0.003249951	0.010803655	0.010543999	0.009162788	0.003589493	0.007784923	0.004761112	0.001207934	0.012099025	0.001804587	0.012533278	0.005882651	0.002441835	0.007147472	0.011513831	0.009657774	0.010638242	0.008689108	0.009130871	0.011200575	0.003293028	0.006455334	0.00291767	0.013026974	0.012451792	0.000520025	0.009306275	0.012203682	0.002381722	0.007490987	0.012074951	0.000447735	0.009198714	0.003921923	0.012192443	0.012807898	0.012454524	0.006254709	0.011370022	0.011139293	0.004208817	0.010933087	0.000488117	0.007864578	0.003033731	0.001590232	0.001014984	0.00918379	0.004482825	0.009559405	0.000862026	0.004158562	0.00711569	0.010429345	0	0.008255275	0.011685717	0.008123007	0.003072649	0.000321837	0.011476281	0.000280536	0.011476281
Sample8	0.012430349	0.007516704	0.013345052	0.011351475	0.0141816	0.004983951	0.010902481	0.005711824	0.006819493	0.008917454	0.012415789	0.013984769	0.010917902	0.005936866	0.005987887	0.010481752	0.003393252	0.001308286	0.004199601	0.003401618	0.003509019	0.002766492	0.000498487	0.000211671	0.011697068	0.005065889	0.004551375	0.008048699	0.002584664	0.011249883	0.009312264	0.001058847	0.004945186	0.010410928	0.011187956	0.005535186	0.007264303	0.001978094	0.01173788	0.002743564	0.011164268	0.007693418	0.007197102	0.006071496	0.002731699	0.002090527	0.0026111	0.002207889	0.009232202	0.004146346	0.000685	0.011476564	0.010466204	0.010986874	0.011782162	0.002059348	0.004692482	0.008979413	0.0082426	0.001822507	0.009661476	0.00265793	0.002650552	0.007630921	0.008426245	0.008243581	0.001300116	0.0103913	0.003145359	0.001533776	0.010524968	0.01131727	0.010209717	0.009586666	0.007759681	0.006523509	0.001030138	0.004837093	0.004413551	0.003076125	0.008567078	0.005872391	0.000959787	0.002607512	0.008091468	0.000901577	0.010080388	0.005863756	0.00569133	0.007015569	0.009766256	0.004118919	0.008029383	0.006699661	0.003162273	0.010405145	0.00944349	0.007797693	0.010072985	0.010270902	0.008388764	0.009912301	0.008259782	0.008054544	0.007325884	0.008914021	0.001878275	0.010431682	0.010324777	0.00034636	0.009779706	0.001526137	0.003968633	0.008804971	0.001903794	0.009686746	0.00985452	0.006009669	7.56E-05	0.003399239	0.007305936	0.011619663	0.00748223	0.003076715	0.007508191	0.006394758	0.009235292	0.001266915	0.009012447	0.006409931	0.0114042	0.004048609	0.007491803	0.011037511	0.001213968	0.011099096	0.008146263	0.000803358	0.003564151	0.008386504	0.000797597	0.006894334	0	0.007353171	0.000541698	0.010321145	0.011528509	0.011473903	0.008877726	0.001540542	0.008877726
Sample9	0.012318911	0.000399444	0.000359424	0.005257443	0.007938605	0.012516208	0.011100967	0.007244233	0.004445399	0.016199504	0.006923835	0.007333333	0.002658269	0.012912651	0.011269714	0.003586672	0.001338381	0.009212951	0.008861111	0.003699529	0.012873282	0.0020451	0.005853172	0.01277516	0.005682485	0.008644694	0.005382838	0.003712467	0.013321598	0.005541775	0.012104777	0.003113244	0.002885122	0.000421509	0.008822602	0.0049893	0.011702129	0.00640656	0.013107903	0.00251174	0.011759869	0.010513969	0.010437138	0.011437112	0.010303136	0.008478094	0.001776861	0.000440356	0.012466914	0.008348531	0.010783933	0.006519098	0.001588179	0.00169483	0.009281537	0.005825704	0.002714807	0.006655461	0.000869294	0.007879029	0.003641772	0.010797767	0.004201841	0.007395607	0.00018879	0.001176988	0.006376537	0.00649766	0.008123388	0.003948679	0.009409024	0.011644781	0.010558026	0.00053638	0.006505351	0.001420599	0.00327693	0.013357948	0.001929178	0.006754206	0.008368912	0.009510334	0.007576813	0.000132283	0.004419802	0.007009048	0.001189582	0.004746969	0.000449521	0.001063836	0.005373752	0.001796774	0.007683661	0.009334333	0.010838756	0.002709737	0.002267466	0.001415693	0.008616322	0.009564633	0.00042763	0.012674925	0.000703614	0.007328349	0.009599628	0.01179163	0.009667678	0.010854209	0.004595652	0.011031523	0.001084636	0.01211449	0.007413588	0.011064999	0.006123719	0.008713087	0.007126711	0.009904637	0.001105149	0.000817078	0.003345411	0.002159998	0.011802656	0.002967832	0.013211768	0.004561069	0.002465606	0.010691346	0.008917926	0.006744831	0.007518799	0.009736925	0.003092938	0.013488883	0.013197253	0.008804445	0.002701509	0.009209281	0.000977459	0.000414989	0.003488644	0.006263229	0	0.009844791	0.010055145	0.005760549	0.004683447	0.005023314	0.01337131	0.000543019	0.01337131
Sample10	0.012967778	0.008654973	0.006560162	0.010847334	0.007278876	0.013063376	0.013471369	0.006307479	0.004140382	0.008859502	0.013645785	0.003150774	0.009317415	0.009445946	0.010964823	0.001967795	0.010706253	0.011329972	0.002239529	0.002960685	0.012107245	0.002255655	0.01064886	0.006135638	0.003081431	0.010852827	0.005550182	0.006416565	0.004477402	0.007390403	0.002038124	0.00487435	0.012082532	0.003217316	0.008185415	0.004053094	0.009640391	0.001631179	0.012087627	0.005655929	0.002942079	0.000916047	0.002115824	0.006478343	0.00420033	0.010331012	0.005370483	0.003099918	0.007691953	0.008809109	0.002081972	0.002089167	0.000457064	0.009178346	0.008273507	0.00591569	0.010521547	0.010041688	0.007295722	0.010821934	0.002565558	0.00139494	0.003362097	0.000853821	0.00794445	0.014008366	0.000588443	0.00152195	0.005636105	0.011639604	0.003940497	0.006322058	0.000518155	0.001848916	0.012297131	0.012029018	6.16E-05	0.011863163	0.007965844	0.010817534	0.005667773	0.00642627	0.006092871	0.008311643	0.001740581	0.000373584	0.003837968	0.008782979	0.002515855	0.008393507	0.012088761	0.001170357	0.008383158	0.005530801	0.010820326	0.002207954	0.008632731	0.010446076	0.011773455	0.008515846	0.006196672	0.007700706	0.010829832	0.007111949	0.000378737	0.011603131	0.008594103	0.008431907	0.002688126	0.008212197	0.004909035	0.008116818	0.001328551	0.008199233	0.012456463	0.000600904	0.012179275	0.005071607	0.010852871	0.009751473	0.00706716	0.009203861	0.010949616	0.005037112	0.004076066	0.008320731	0.010068806	0.009500947	0.009943766	0.00542901	0.010193298	0.001498258	0.006786387	7.18E-05	0.004045563	0.004567492	0.004937805	0.008668143	0.004842899	0.005592414	0.002960695	0.004652125	0	0.000912297	0.007521245	0.008328451	0.007721185	0.005776883	0.004733563	0.010760392	0.004733563
